replication,target,pyfixest_estimate,pyfixest_se,pyfixest_covered,dbmundlak_estimate,dbmundlak_se,dbmundlak_covered,bitmap_estimate,bitmap_se,bitmap_covered,pyfixest_seconds,dbmundlak_seconds,bitmap_seconds,total_seconds,num_bootstraps,num_units,num_periods
0,0.067015270063368,0.0682089219330884,0.0030572689072306,True,0.0682089219330856,0.0029497161844743,True,0.0682089219330855,0.002942732483935,True,18.988695902000472,2.075961834001646,0.4677231430032407,21.574819045999902,200,10000,30
1,0.0670979920323161,0.0705130111524191,0.0030828743473841,True,0.0705130111524164,0.0032946314711546,True,0.0705130111524166,0.0033074246682865,True,24.25358465599857,2.07126741099637,0.7477026749984361,27.116470547000063,200,10000,30
2,0.0672570539188086,0.0656855018587387,0.0030708233148102,True,0.0656855018587361,0.0027062171781525,True,0.0656855018587359,0.0027276803867467,True,17.40667980800208,1.7911224630006473,0.490772212993761,19.730176696000854,200,10000,30
3,0.0672094132046743,0.0614200743494438,0.0030983109319275,True,0.0614200743494423,0.0033920529978143,True,0.061420074349443,0.0034103427788767,True,22.097318781001377,2.109000083000865,0.5231769579986576,24.782241170003545,200,10000,30
4,0.0670094595409837,0.0660289962825297,0.0030694546701902,True,0.0660289962825281,0.0031865927248247,True,0.0660289962825283,0.0032052492107658,True,18.861929757993494,1.8600210739969043,0.5545335780043388,21.327093421998143,200,10000,30
5,0.0671659035939166,0.0663048327137564,0.003054137410624,True,0.0663048327137546,0.0029795626366981,True,0.0663048327137547,0.0029890366177599,True,17.554167607995623,2.237113750001299,0.5566709260019707,20.393501626000216,200,10000,30
6,0.0669285057154144,0.0658646840148716,0.0031012096136008,True,0.0658646840148699,0.0031680364834155,True,0.0658646840148695,0.003148635030812,True,3.5035136719961884,1.7581138550012838,0.7537379650020739,6.043317029994796,200,10000,30
7,0.0670118703380567,0.0705881040892219,0.0030828556483944,True,0.0705881040892194,0.0029463954898964,True,0.0705881040892191,0.0029686089231066,True,4.033271325002716,1.673872595994908,0.4986212219955632,6.247425918998488,200,10000,30
8,0.0671703687104663,0.0752252788104123,0.0030865561816838,False,0.075225278810409,0.0029897471905769,False,0.075225278810409,0.0030021168932654,False,3.403662288998021,1.7489372920026651,0.6950873719979427,5.891382882000471,200,10000,30
9,0.0669395519771896,0.0630527881040917,0.003100692694128,True,0.0630527881040891,0.0032071522709765,True,0.0630527881040893,0.0032467048883598,True,4.938433560004341,1.874249157001032,0.7663812219980173,7.606736025001737,200,10000,30
10,0.0670655139451638,0.0653219330855043,0.0031032102237592,True,0.0653219330855019,0.0029760192539726,True,0.065321933085502,0.0029730335228877,True,3.332300902999122,1.7928404819977004,0.5680574770012754,5.722738548996858,200,10000,30
11,0.0669456795831147,0.0700334572490726,0.0030755267044699,True,0.0700334572490706,0.0029326877092641,True,0.0700334572490704,0.0029345046417134,True,3.550788453001587,1.7499348590063164,0.7749656360028894,6.118639882006391,200,10000,30
12,0.0670215734328731,0.0709992565055785,0.0030627409746795,True,0.0709992565055762,0.0027500977418866,True,0.0709992565055764,0.0027421442522485,True,3.33350783700007,1.73377621799591,0.4883137959986925,5.585291037001298,200,10000,30
13,0.0671313078631205,0.0636795539033477,0.0030463707292884,True,0.0636795539033457,0.0029967589616329,True,0.0636795539033457,0.0030178632260314,True,4.156317528999352,1.7542202039985568,0.5657702989992686,6.517744324002706,200,10000,30
14,0.0669904747802053,0.0635382899628274,0.0030642246557618,True,0.0635382899628252,0.0030065626767457,True,0.0635382899628251,0.003004212900449,True,7.002335979996133,2.386945201003982,0.8036300340027083,10.238355879002484,200,10000,30
15,0.067075453515246,0.066913011152418,0.0031099039915836,True,0.0669130111524164,0.0030650646585817,True,0.0669130111524163,0.0030622158347837,True,3.719004665996181,1.7526701599999797,0.7905010929971468,6.304485977001605,200,10000,30
16,0.0669334469337488,0.0709799256505609,0.0031110680789484,True,0.0709799256505576,0.002951786828569,True,0.0709799256505578,0.0029512024868017,True,3.671375382000406,1.8011212470009923,0.6782716529996833,6.192916421001428,200,10000,30
17,0.0670927532142998,0.0631791821561358,0.0030921379712173,True,0.0631791821561338,0.0031899073443962,True,0.0631791821561336,0.0031884032336679,True,4.272189167997567,1.849430096001015,0.5634115790016949,6.728976641999907,200,10000,30
18,0.0669830709111064,0.0653836431226783,0.0030637280809501,True,0.0653836431226765,0.0031350011746573,True,0.0653836431226764,0.0031451096026247,True,3.748978310999519,1.991093798998918,0.8788423529986176,6.6468807239944,200,10000,30
19,0.0671698218270463,0.0710669144981432,0.0030964707873886,True,0.0710669144981413,0.0032059403539338,True,0.0710669144981415,0.0032111151390834,True,3.65847318500164,2.009379538998473,0.5077523040017695,6.216082982995431,200,10000,30
20,0.0672317157942599,0.0663152416356906,0.0030963226016625,True,0.0663152416356879,0.0030127440105136,True,0.0663152416356877,0.0030340264923849,True,3.7498901819999446,2.0062815220007906,0.7592279019954731,6.557944706000853,200,10000,30
21,0.0670617455130278,0.0678111524163584,0.0030509701479029,True,0.0678111524163569,0.003069328481174,True,0.067811152416357,0.0030480449587286,True,3.693953166999563,2.059297591993527,0.6671948630028055,6.450543680999544,200,10000,30
22,0.0669920603259482,0.0650275092936819,0.0030873561055485,True,0.0650275092936803,0.0031602317145332,True,0.0650275092936805,0.0031879622270863,True,5.85816914899624,2.237640437000664,0.6334251829975983,8.773987981003302,200,10000,30
23,0.0670778485428569,0.0689509293680325,0.0031281658751911,True,0.0689509293680297,0.0030596454059262,True,0.0689509293680296,0.0030518259639342,True,4.08323109200137,1.871792149002431,0.5694908700024826,6.570095176997711,200,10000,30
24,0.0670911732088201,0.0635970260223074,0.0030746181087351,True,0.0635970260223048,0.0026753622435953,True,0.0635970260223052,0.0027123768962284,True,3.85193676599738,1.8961752190007248,0.8467222190010943,6.64025477800169,200,10000,30
25,0.0669836645835023,0.0692156133829022,0.0030582839493685,True,0.0692156133828995,0.0029396614558904,True,0.0692156133828999,0.0029376882542787,True,3.841961270001775,2.2207772219990147,0.5993398050050018,6.692004762997385,200,10000,30
26,0.0670658352971154,0.0631390334572512,0.0030951532405769,True,0.0631390334572489,0.0031013524146699,True,0.0631390334572493,0.0030997932567781,True,3.77301082899794,2.656472119000682,0.6220008710006368,7.080983273001039,200,10000,30
27,0.0671064260527801,0.0669486988847603,0.0030926809274656,True,0.0669486988847585,0.0030109342261082,True,0.0669486988847583,0.0030195631336403,True,3.917955496996001,2.3963119149993872,0.551079157005006,6.908773606999603,200,10000,30
